---
name: "Athena Website Playbooks"
source_url: "https://docs.google.com/spreadsheets/d/1ul0s64pGEjF0hr_2iu8B_t7ECA5R5Yk5k6PDBQj_jhU/edit"
export_date: "2026-01-30T17:21:53.577Z"
type: "google_sheet"
export_format: "csv"
sheet_count: 2
---

#,Group,Tag,Name,Description,URL,Author 1,,Author 2,,Author 3
1,Foundations,Inbox,Send emails—without having to write them,"Your assistant crafts emails, accelerating your task completion.",https://playbooks.athena.com/foundations/predrafting-emails
2,Foundations,Inbox,Maintain inbox zero,"Your assistant categorizes emails, freeing you to focus on what matters.",https://playbooks.athena.com/foundations/inbox-zero
3,Foundations,Travel,Plan family vacations,"Your assistant manages travel, stays, and activities, ensuring a seamless experience.",https://playbooks.athena.com/foundations/family-trips
4,Foundations,Travel,Book business trips,"Your assistant manages end-to-end travel logistics, addressing transportation, accommodation, and productivity. They swiftly handle any disruptions.",https://playbooks.athena.com/foundations/effortless-business-travel
5,Foundations,Calendar,Rebuild your calendar for the life you want to live,"Your EA will structure your time around your personal non-negotiables. My EA Sam understands my goals, and drafts my schedule accordingly every week, holding me accountable to my ideal self.",https://playbooks.athena.com/foundations/time-audit,Chris Ho / Sam Narval,https://playbooks.athena.com/authors/chris-ho,Chris Ho,https://playbooks.athena.com/authors/sam-narval,Sam Narval
6,Foundations,Calendar,Comprehensive meeting bios,"Your assistant will compile detailed profiles for all meeting attendees, ensuring you understand their backgrounds and preferences to communicate effectively.",https://playbooks.athena.com/foundations/meeting-bios
7,Foundations,Travel,Painless passport renewal,"Your assistant anticipates renewal needs, facilitating continuous travel and sparing you the errand.",https://playbooks.athena.com/foundations/passport-renewal,Jonathan Swanson / Ace Padua,https://playbooks.athena.com/authors/jonathan-swanson,Jonathan Swanson,https://playbooks.athena.com/authors/ace-padua,Ace Padua
8,Essentials,Image,Refresh your wardrobe,"Your assistant develops your style profile for personalized, seasonal wardrobe enhancements.",https://playbooks.athena.com/essentials/wardrobe-refresh
9,Essentials,Home,Set a new standard for home cleanliness,Empower your assistant to detail your cleaning standards to providers for consistent home cleanliness.,https://playbooks.athena.com/essentials/home-cleaning
10,Essentials,Money,Track your angel investments,Your assistant will maintain a tracker to follow current data on your investments and overall portfolio performance.,https://playbooks.athena.com/essentials/angel-investments
11,Essentials,Home,Hassle-free shopping and returns,"Your assistant streamlines your online shopping and handles returns, optimizing your time.",https://playbooks.athena.com/essentials/no-stress-returns
12,Essentials,Home,Year-round property maintenance,"Your assistant oversees property maintenance, ensuring consistent quality and freeing your time.",https://playbooks.athena.com/essentials/property-care
13,Essentials,Home,Proactive household maintenance,Your assistant prepares an action manual of trusted providers for efficient home system repairs.,https://playbooks.athena.com/essentials/sourcing-tradespeople
14,Career,Hiring & Team,Recruit your alumni,"Partner with your assistant for a systematic email campaign, enhancing your recruitment reach.",https://playbooks.athena.com/career/alumni-recruiting
15,Career,Networking,Centralize all of your contacts,Your assistant will consolidate contacts from multiple platforms into one definitive directory.,https://playbooks.athena.com/career/contacts-management-in-clay
16,Career,Hiring & Team,Speed-up your hiring,"Your assistant swiftly filters and forwards top applicants, streamlining your hiring process.",https://playbooks.athena.com/career/hire-the-right-people-at-record-speed
17,Lifestyle,Food & Drink,Discover and cook new recipes,Your assistant analyzes your culinary habits to introduce recipes that enhance your skills and excite your palate.,https://playbooks.athena.com/lifestyle/new-recipes
18,Lifestyle,Home,Get your groceries on autopilot,"Your assistant oversees your kitchen inventory, ensuring seamless restocking of your essentials.",https://playbooks.athena.com/lifestyle/online-grocery-shopping
