---
name: "Client - EA Preferences Template - Single Tab"
source_url: "https://docs.google.com/spreadsheets/d/14zkcUIz2leYPNWAWr9tgPqN3zLUYoMqawLiVFB5xNQM/edit"
export_date: "2026-01-30T17:21:04.742Z"
type: "google_sheet"
export_format: "csv"
---

Area,Section,Item,Detail,Notes
Basics,Apps,Task & Project Management,Todoist,For tasks assigned to EA (and ideally same as personal to-do list); not company's project management SaaS
Basics,Apps,Instant Messaging & Voice Notes,Slack,For EA conversations
Basics,Apps,Knowledge Management,Google Drive
Basics,Apps,Screen Recording,Loom
Basics,Apps,Password Manager,1Password
Basics,Apps,Calendar,Motion
Basics,Apps,Email,Shortwave
Basics,Apps,Video Conferencing,Zoom
Basics,Apps,Voice Calling,OpenPhone,OpenPhone is provided by Athena to ensure EAs can make international phone calls on your behalf.
Basics,Apps,Meeting Notetaker,Fireflies
Basics,Apps,Workflow Automations,Zapier
Basics,Accts/Links,Personal Email Address/Alias for EA,name@name.domain
Basics,Accts/Links,Business Email Address/Alias for EA,name@company.domain
Basics,Accts/Links,Meeting URL,https://us06web.zoom.us/j/12345
Basics,Accts/Links,Scheduling URLs,"https://cal.com/name/meeting-30
https://cal.com/name/urgent",E.g. use urgent only for VIPs
Basics,Finance,Primary Personal Credit Card,Chase Sapphire Reserve,E.g. use for everything except flights
Basics,Finance,Other Personal Credit Cards,Amex Platinum
Basics,Finance,Primary Personal Bank,Mercury Personal
Basics,Finance,Other Personal Bank Accounts,N/A
Basics,Finance,Primary Business Credit Card,Ramp,E.g. create separate virtual card for new vendors
Basics,Finance,Other Business Credit Cards,N/A
Basics,Finance,Primary Business Bank,Mercury
Basics,Finance,Other Business Bank Accounts,N/A
Basics,Loyalty Programs,Personal Credit Card Points,Chase UR,Transfers to most airlines & hotels; use for any points-based flight or hotel searches
Basics,Loyalty Programs,Business Credit Card Points,Amex MR
Basics,Loyalty Programs,Primary Frequent Flyer Programs,United (Gold)
Basics,Loyalty Programs,Other Frequent Flyer Programs,N/A
Basics,Loyalty Programs,Primary Hotel Loyalty Programs,Marriott (Titanium),Not loyal; will go to any brand if better price/location/amenities
Basics,Loyalty Programs,Other Hotel Loyalty Programs,Hyatt (Corporate)
Basics,Loyalty Programs,Primary Rental Car Program,Turo
Basics,Loyalty Programs,Other Car Rental Programs,"Hertz, Enterprise, National"
Basics,Loyalty Programs,Primary Rideshare Services,"Uber, Grab"
Email,Inbox Sweeps,Start of Day Sweep,8 AM PT,"Review, label, & pre-draft emails"
Email,Inbox Sweeps,Mid-Day Sweep,12 PM PT,Optional
Email,Inbox Sweeps,End of Day Sweep,4 PM PT,Follow-up on any pre-drafted but unsent emails
Email,Labels,Priority,"All emails involving VIPs/investors, use cases client wants flagged, or where deemed urgent/important",Leave unread
Email,Labels,Needs Response,"Emails where EA identifies need for response or action, but use case is outside rules or not sure how to proceed",Mark as read; follow up with client if untouched for 2d
Email,Labels,Pre-Drafts,Emails ready for review & sending,"Mark as read, aim for inbox zero by EOD or within 24h"
Email,Labels,Waiting On,Emails sent by client or EA where response is needed,"Default follow up period of 3 business days, EA to draft"
Email,Labels,Responded,Emails where the EA responded as client or themselves according to rules & SOPs,Set Gmail to automatically add responded label when email with pre-draft label is sent
Email,Labels,Receipts,Purchases by EA or client,Add manually for all purchases
Email,Labels,Travel,"Flight, hotel, Airbnb, ground transport, tours, etc","Add receipts/confirmations only, not check-in reminders or promotions"
Email,Labels,Newsletters,"Substack, Beehiiv, others","Add all newsletters to Gmail label,set to skip inbox and mark as read"
Email,Labels,Unsubscribed,"For low-quality sales emails, SaaS marketing, shopping brands, promotional emails, and other unimportant details",Add label and unsubscribe; mark as spam based on judgment
Email,Pre-Drafting,Email Opening,e.g. Hey {name} vs Hi {name} vs nothing
Email,Pre-Drafting,Email Closing,"e.g. Thanks! vs Cheers, vs whatever"
Email,Pre-Drafting,VIPs,Add VIP list or definition,"EA pre-drafts from client, tags as priority"
Email,Pre-Drafting,Scheduling - Internal,,Send as EA without pre-draft approval; use Cal.com link
Email,Pre-Drafting,Scheduling - External,,"Pre-draft as EA; use Cal.com link if not VIP or VC, otherwise offer slots via email"
Email,Pre-Drafting,Investor Updates
Email,Pre-Drafting,Fundraising
Email,Pre-Drafting,Leadership Team & Co-Founders
Email,Pre-Drafting,Direct Reports
Email,Pre-Drafting,HR & People
Email,Pre-Drafting,Other Employees
Email,Pre-Drafting,Recruiting
Email,Pre-Drafting,Sales & BD
Email,Pre-Drafting,Media/PR
Email,Pre-Drafting,Podcasts/Speaking Engagements
Email,Pre-Drafting,General Friend / Non-Business
Email,Pre-Drafting,Partner
Email,Pre-Drafting,Add details
Email,Voice & Tone,General Personal Email,Example email generated by AI/EA here,"Avoid paragraphs with more than 3 sentences, etc"
Email,Voice & Tone,General Work Email,Example email generated by AI/EA here
Email,Voice & Tone,Work Emails - Internal,Example email generated by AI/EA here
Email,Voice & Tone,Work Emails - External,Example email generated by AI/EA here
Email,Voice & Tone,"Common use cases (e.g. podcast/media invites, etc)",Ask for use cases
Calendar,Preferences,Ideal day
Calendar,Preferences,Focus time policies,E.g. aim for 3 x 2h blocks in mornings per week
Calendar,Preferences,Preferred first meeting time,11 AM,Exceptions for X/Y/Z
Calendar,Preferences,Earliest possible meeting time,9 AM
Calendar,Preferences,Preferred final meeting end time,6 PM,Exceptions for X/Y/Z
Calendar,Preferences,Latest possible meeting end time,8 PM
Calendar,Preferences,Lunch policy,Avoid booking 1-2 PM; free to book over in emergencies
Calendar,Preferences,Meeting buffer policy,More than 2 hour meetings back to back = 10 minute break/placeholder
Calendar,Preferences,Preferred naming of events,Adding the type of meeting before the attendee's names; put my name last
Calendar,Preferences,Moveable recurring meetings
Calendar,Preferences,Non-moveable recurring meetings
Calendar,Preferences,No meeting day,Wednesday
Calendar,Preferences,Meeting day themes,"Tuesday for 1-1s, Thursday for external"
Calendar,Preferences,Special dates to observe
Calendar,Preferences,Calendar coloring / labeling policy
Calendar,Virtual Meetings,Preferred account for personal video calls,Zoom
Calendar,Virtual Meetings,Preferred account for company video calls,Google Meet (company account)
Calendar,Virtual Meetings,Rules for external meetings / platforms,Ask to avoid Teams if possible
Calendar,IRL Meetings,Co-working locations,The Spaces
Calendar,IRL Meetings,Coffee locations,Deneen
Calendar,IRL Meetings,Lunch meeting locations,ByMark
Calendar,IRL Meetings,VIP dinner locations,Susur
Calendar,IRL Meetings,Preferred day for external meetings,Tuesdays / Thursdays
Calendar,EA Support,Pre-meeting bios policy,"VCs for first meeting, recruiting candidates"
Calendar,EA Support,Post-meeting action items policy,"Review Fireflies and create tasks for EA in ClickUp, client in Todoist"
Calendar,EA Support,Daily agenda policy,Via DM at 8 AM
Travel,Flights,Primary Airilne & Alliance,"United, Star Alliance"
Travel,Flights,Other Acceptable Airlines,"Delta, Southwest, Jetblue"
Travel,Flights,Blacklisted Airlines,E.g. Spirit
Travel,Flights,Preferred Airport (Home),"EWR, JFK or LGA if much better flights"
Travel,Flights,Preferred Airports (Common Destinations),"Bay Area: SFO, avoid OAK"
Travel,Flights,Preferred Layover Airports,"IAH, MIA"
Travel,Flights,TSA Pre✔️ / Global Entry / Clear,Yes; KTN: 12345; Clear: name@email.com
Travel,Flights,In-Flight Meals,e.g. Vegetarian Option
Travel,Flights,Seating Class,"E.g. business for long-haul international, economy plus for domestic or less than 5h"
Travel,Flights,Window / Aisle,Window
Travel,Flights,Front / Back,"Front, away from restrooms"
Travel,Flights,Nonstop or Layover Flights,"If layovers are necessary, prefer > 1h and < 4h and at airports with Centurion Lounge"
Travel,Flights,Time of Day for Departure Flights,"Afternoon, morning, early morning"
Travel,Flights,Time of Day for Return Flights,"Afternoon, morning, early morning"
Travel,Flights,Typical Baggage,"1 carry-on, 1 checked"
Travel,Flights,EA Pre-Flight Check-In?,Yes
Travel,Flights,Boarding Passes,"Save in Google Drive, add to Apple Note"
Travel,Flights,Transportation to Airport,Taxi/Rideshare/Private Car/Public Transport
Travel,Flights,Airport Arrival Time,90 min before domestic; 2.5h before international
Travel,Flights,Airport Lounge Access,Yes/No
Travel,Flights,On-Ground Services,Ask about car service vs Uber each time
Travel,Accommodation,Key Constraints,"Prefer to stay close to business venue, prefer early check-in"
Travel,Accommodation,Hotels vs Airbnb/Apartment Rentals,Hotels preferred unless Airbnbs much better/cheaper/closer to meeting location
Travel,Accommodation,Hotel Brands Preferred,"JW Marriott, AC, Grand Hyatt"
Travel,Accommodation,Hotel Brands Blacklisted,"Sheraton, Hilton"
Travel,Accommodation,Required Hotel Amenities,Gym with Peloton or elliptical
Travel,Accommodation,Nice-to-Have Hotel Amenities,"Pool, sauna/spa, co-working"
Travel,Accommodation,Hotel Room Preferences,"Single room, king bed; away from elevators"
Travel,Accommodation,Airbnb/Apartment Rental Preferences,Self check-in and superhosts only; verify reviews have no complaints about noise or internet
Travel,Accommodation,Amenities,"Stable wifi, desk available in room, pool, gym"
Travel,Accommodation,Price (per night),<$250 per night personal; <$500 per night business
Travel,Accommodation,Check-in/Checkout Times,"Check-in: No later than 3 PM
Checkout: No earlier than 11 AM"
Travel,Accommodation,Aesthetics,Minimalist
Gifts,Partner Gifts,"Birthday, anniversary, Valentine's Day, Christmas",Birthday: X/X/X; Anniversary: X/X/X,"Price ranges, items, etc"
Gifts,Mother Gifts,"Birthday, Mother's Day, Christmas",Birthday: X/X/X
Gifts,Father Gifts,"Birthday, Father's Day, Christmas",Birthday: X/X/X
Gifts,Child Gifts,"Birthday, Christmas",Birthday: X/X/X
Gifts,Friend 1 Gifts,"Birthday, Christmas",Birthday: X/X/X
Gifts,Friend 2 Gifts,Birthday,Birthday: X/X/X
Gifts,Friend 3 Gifts,Birthday,Birthday: X/X/X
